CA,NY,FL,TX,IL,WA,AGE,MAR,SEX,YES_STEM,NO_STEM,UNKNOWN_INDUSTRY,INCOME
0,0,0,0,0,1,24,0,1,0,0,1,45000
0,0,0,0,0,1,28,0,0,0,0,1,10800
0,0,0,0,0,1,30,0,1,0,0,1,171000
0,0,0,0,0,1,22,0,0,0,0,1,29200
0,0,0,0,0,1,29,1,1,0,0,1,48100
0,0,0,0,0,1,28,1,0,0,0,1,2000
0,0,0,0,0,1,26,0,1,0,0,1,30000
0,0,0,0,0,1,33,1,0,0,0,1,36000
0,0,0,0,0,1,22,0,1,0,0,1,5000
0,0,0,0,0,1,32,0,1,0,0,1,55000
0,0,0,0,0,1,24,1,1,0,0,1,13000
0,0,0,0,0,1,25,1,0,0,0,1,18000
0,0,0,0,0,1,28,1,1,0,0,1,50000
0,0,0,0,0,1,26,1,0,0,0,1,20000
0,0,0,0,0,1,23,1,0,0,0,1,33000
0,0,0,0,0,1,35,1,1,0,0,1,13000
0,0,0,0,0,1,33,1,1,0,0,1,30000
0,0,0,0,0,1,34,0,1,0,0,1,59000
0,0,0,0,0,1,27,0,0,0,0,1,30000
0,0,0,0,0,1,26,0,1,0,0,1,25000
0,0,0,0,0,1,24,0,0,0,0,1,35000
0,0,0,0,0,1,22,0,0,0,0,1,17000
0,0,0,0,0,1,33,1,0,0,0,1,62000
0,0,0,0,0,1,34,0,0,0,0,1,2800
0,0,0,0,0,1,31,1,0,0,0,1,12800
0,0,0,0,0,1,32,1,1,1,0,0,79010
0,0,0,0,0,1,31,0,1,0,0,1,90000
0,0,0,0,0,1,28,0,0,0,0,1,7000
0,0,0,0,0,1,23,0,1,0,0,1,4000
0,0,0,0,0,1,33,0,0,0,0,1,7700
0,0,0,0,0,1,22,0,1,0,0,1,24000
0,0,0,0,0,1,26,1,0,0,0,1,25000
0,0,0,0,0,1,26,1,1,0,0,1,22000
0,0,0,0,0,1,33,0,1,0,0,1,3600
0,0,0,0,0,1,30,1,1,0,0,1,35000
0,0,0,0,0,1,28,0,0,0,0,1,26600
0,0,0,0,0,1,31,0,0,0,0,1,15000
0,0,0,0,0,1,35,0,0,0,0,1,36000
0,0,0,0,0,1,31,0,0,0,0,1,31500
0,0,0,0,0,1,32,0,1,0,0,1,45000
